id,company_id,rule_type,definition,date_created,last_updated
1,629,regex_and_mcc,"{""pattern"": ""VCA"", ""mcc_code"": 742}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
2,383,regex_and_mcc,"{""pattern"": ""AIR FRANCE"", ""mcc_code"": 3000}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
3,381,regex_and_mcc,"{""pattern"": ""DELTA"", ""mcc_code"": 3000}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
4,395,regex_and_mcc,"{""pattern"": ""EVA AIR"", ""mcc_code"": 3000}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
5,392,regex_and_mcc,"{""pattern"": ""LUFTHANSA"", ""mcc_code"": 3000}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
6,372,regex_and_mcc,"{""pattern"": ""AVIS RENT-A-CAR"", ""mcc_code"": 3351}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
7,247,regex_and_mcc,"{""pattern"": ""ALOFT"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
8,271,regex_and_mcc,"{""pattern"": ""BAYMONT INN & SUITES"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
9,224,regex_and_mcc,"{""pattern"": ""COURTYARD BY MARRIOTT"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
10,272,regex_and_mcc,"{""pattern"": ""DAYS INN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
11,62,regex_and_mcc,"{""pattern"": ""DISNEY"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
12,254,regex_and_mcc,"{""pattern"": ""DOUBLETREE"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
13,269,regex_and_mcc,"{""pattern"": ""EXTENDED STAY AMERICA"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
14,260,regex_and_mcc,"{""pattern"": ""HILTON GARDEN INN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
15,214,regex_and_mcc,"{""pattern"": ""HOLIDAY INN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
16,546,regex_and_mcc,"{""pattern"": ""HYATT HOTELS"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
17,275,regex_and_mcc,"{""pattern"": ""KNIGHTS INN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
18,223,regex_and_mcc,"{""pattern"": ""MARRIOTT"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
19,220,regex_and_mcc,"{""pattern"": ""QUALITY INN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
20,243,regex_and_mcc,"{""pattern"": ""RENAISSANCE HOTELS"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
21,238,regex_and_mcc,"{""pattern"": ""SHERATON"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
22,228,regex_and_mcc,"{""pattern"": ""SPRINGHILL SUITES"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
23,235,regex_and_mcc,"{""pattern"": ""W HOTELS"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
24,245,regex_and_mcc,"{""pattern"": ""WESTIN"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
25,278,regex_and_mcc,"{""pattern"": ""WYNDHAM"", ""mcc_code"": 3501}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
26,751,regex_and_mcc,"{""pattern"": ""LYFT"", ""mcc_code"": 4121}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
