HIP ID,aim_parent_company_id,aim_brand_company_id,isin,HIP_industry,aim_category,parent_name,brand_name,display_name,hip_rating_currently_unavailable,hip_score (reference),earth_score (reference),legal_judgments,lobbying,board_diversity,decision_making,metrics,ceo_comp_to_employee_comp,employee_access_to_stock_options,employee_access_to_retirement_plan,employee_pay_salary,employee_pay_hourly,job_safety,hrc_score,supplier_sourcing__social_impact,women_employees,women_managers,employee_satisfaction,employee_retention,third_party_certifications__workforce_related,customer_satisfaction,community_development_investment,board_racial_diversity,management_racial_diversity,overall_racial_diversity,product__service__impact_on_people_AIM CATEGORY,HIP_industry,aim_category,display_name,energy_efficiency,ghg_emissions_scope1&2,ghg_emissions_scope3,waste_production,water_usage,carbon_reductions,renewable_power_usage,supplier_sourcing__environmental_impact,third_party_certifications__environment,product__service__impact_on_planet_AIM CATEGORY,hip_reporting
1,600,601,US5801351017,Restaurants & Bars,Food - Fast Food,MCDONALDS,MCDONALD,McDonald's,n,50%,54%,0%,93%,62%,99%,30%,57%,78%,0%,29%,58%,7%,100%,90%,94%,0%,17%,20%,0%,69%,76%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,McDonald's,62%,63%,0%,20%,15%,72%,72%,100%,4%,35%,59%
2,67,68,US0231351067,Broadline Retailers,Online Retail,AMAZON.COM,AMAZON,Amazon,n,49%,27%,0%,53%,67%,44%,21%,56%,89%,64%,72%,97%,10%,100%,90%,91%,67%,6%,20%,0%,68%,20%,0%,0%,0%,80%,Broadline Retailers,Online Retail,Amazon,10%,61%,0%,30%,3%,52%,30%,100%,4%,60%,35%
3,458,459,JP3422950000,Broadline Retailers,Gas Stations,SEVEN & I HDG.,7-ELEVEN,7-Eleven,n,58%,56%,0%,0%,7%,93%,61%,0%,5%,0%,36%,58%,85%,0%,90%,82%,62%,28%,98%,25%,0%,57%,0%,0%,0%,25%,Broadline Retailers,Gas Stations,7-Eleven,59%,0%,0%,85%,48%,60%,10%,100%,20%,2%,96%
4,161,162,US5010441013,"Food Retail,Wholesale",Grocery,KROGER,KROGER,Kroger,n,58%,50%,0%,0%,62%,45%,16%,72%,76%,67%,51%,44%,47%,95%,90%,99%,66%,46%,20%,100%,90%,67%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Kroger,47%,60%,0%,98%,43%,59%,37%,100%,4%,50%,87%
5,551,552,GB00B03MLX29,Integrated Oil & Gas,Gas Stations,ROYAL DUTCH SHELL A,SHELL,Shell,n,56%,48%,0%,0%,81%,100%,64%,100%,92%,88%,100%,58%,62%,100%,0%,71%,61%,83%,20%,0%,0%,77%,0%,0%,0%,25%,Integrated Oil & Gas,Gas Stations,Shell,20%,0%,0%,20%,43%,57%,36%,0%,0%,2%,99%
6,135,136,US0378331005,Computer Hardware,Electronics,APPLE,APPLE,Apple,n,63%,71%,0%,100%,58%,89%,27%,83%,97%,77%,100%,100%,13%,100%,50%,74%,70%,0%,20%,0%,68%,54%,0%,41%,56%,75%,Computer Hardware,Electronics,Apple,87%,80%,0%,94%,61%,79%,49%,100%,20%,45%,96%
7,78,79,US9311421039,Broadline Retailers,Superstore,WAL MART STORES,WAL-MART,Walmart,n,51%,33%,0%,0%,46%,45%,29%,57%,76%,56%,86%,71%,15%,100%,0%,92%,92%,0%,20%,0%,84%,68%,0%,31%,42%,75%,Broadline Retailers,Superstore,Walmart,3%,0%,0%,30%,3%,62%,47%,0%,0%,50%,53%
8,0,602,US8552441094,Restaurants & Bars,Food - Coffee & Snacks,STARBUCKS,STARBUCKS,Starbucks,n,57%,60%,0%,0%,69%,97%,58%,58%,79%,54%,87%,81%,10%,100%,0%,69%,98%,24%,20%,0%,85%,40%,0%,27%,51%,45%,Restaurants & Bars,Food - Coffee & Snacks,Starbucks,20%,0%,0%,50%,32%,59%,50%,0%,0%,35%,67%
9,146,147,US9314271084,Drug Retailers,Pharmacy,WALGREENS BOOTS ALLIANCE,WALGREENS,Walgreen's,n,58%,53%,75%,0%,62%,45%,39%,90%,76%,61%,87%,100%,9%,100%,0%,66%,92%,14%,25%,0%,86%,46%,0%,33%,53%,85%,Drug Retailers,Pharmacy,Walgreen's,57%,0%,0%,85%,3%,65%,62%,0%,0%,55%,79%
10,284,285,US02079K3059,Internet,Online Service,ALPHABET 'A',GOOGLE,Google,n,68%,58%,0%,95%,59%,44%,9%,57%,98%,89%,100%,100%,8%,0%,90%,72%,65%,100%,100%,0%,84%,40%,0%,48%,59%,80%,Internet,Online Service,Google,59%,63%,0%,30%,13%,65%,100%,100%,20%,70%,70%
